"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSG00000233841",12701.6013503809,7.71020847001586,0.230032241192187,33.5179470062814,2.64002027769117e-246,5.69082771059108e-242
"2","ENSG00000231247",852.285634964378,5.2467790424557,0.302779712430552,17.3287007915338,2.85710045222089e-67,3.07938286740368e-63
"3","ENSG00000227739",8015.56428836495,3.89122544943936,0.26065012623967,14.9289221746294,2.1369222998993e-50,1.53544990322098e-46
"4","ENSG00000134184",486.389866978064,8.33783117336475,0.673975966263471,12.3711105302312,3.74605940200105e-35,2.01875141173836e-31
"5","ENSG00000225164",965.093066826355,2.86848011720506,0.243736938664895,11.76875418604,5.65534934101322e-32,2.43813420789762e-28
"6","ENSG00000235986",285.088941599957,3.43906900264492,0.317154938517929,10.8434981927627,2.14123528845259e-27,7.692744646314e-24
"7","ENSG00000230230",696.736442363841,12.7715816973688,1.21876879577691,10.479084910627,1.07781556104171e-25,3.31905603340217e-22
"8","ENSG00000224379",776.646823237376,12.8188851184112,1.24901737949757,10.2631759404082,1.03253822024556e-24,2.78217423445165e-21
"9","ENSG00000228405",231.911081667369,6.64244666929229,0.670223387314731,9.91079510953123,3.73660523134874e-23,8.94958470743927e-20
"10","ENSG00000206305",1349.50656258138,7.05417710081982,0.747896278307692,9.43202594453567,4.02243324274043e-21,8.67075709805126e-18
"11","ENSG00000262170",454.49136330111,-5.31855712720641,0.570857338034734,-9.31678857894054,1.19914853260815e-20,2.34989506990012e-17
"12","ENSG00000236011",233.086595288995,11.360861199562,1.26290323404829,8.99582873277179,2.34456601961559e-19,4.21162209323613e-16
"13","ENSG00000224859",265.974464299156,11.0366929232638,1.25357579230929,8.8041688352424,1.31825822730676e-18,2.18587494983266e-15
"14","ENSG00000241386",154.053762411751,10.8451129116585,1.26380329189132,8.58132984875235,9.37825328956581e-18,1.44398305649915e-14
"15","ENSG00000237724",199.276823583272,10.6028129438006,1.29046307584744,8.2162854112178,2.09903555486058e-16,3.01645402803832e-13
"16","ENSG00000254405",160.063020407817,10.4012407167872,1.31115103680619,7.93290812790221,2.14072799040804e-15,2.88409578507724e-12
"17","ENSG00000225824",145.614869462285,4.57475205546178,0.579146296639537,7.89913029230528,2.80856180099172e-15,3.5612563636575e-12
"18","ENSG00000224501",120.022165635717,7.78877625681747,1.00153543260688,7.77683545008904,7.43612282947465e-15,8.90517020623087e-12
"19","ENSG00000108278",166.267736661482,-8.69885170245263,1.12424427255085,-7.73751035681545,1.01382426210284e-14,1.15021030494152e-11
"20","ENSG00000241713",68.6701818646884,9.64311396145899,1.2958540963659,7.44151211814835,9.95392505123547e-14,1.07283404202216e-10
"21","ENSG00000148291",61.6512574470035,-4.05608478386775,0.556252774917183,-7.29180143770362,3.05837693183473e-13,3.13935110202997e-10
"22","ENSG00000227827",225.867576561325,2.56806440721855,0.352519999546206,7.28487578158512,3.21966821886582e-13,3.15468946026689e-10
"23","ENSG00000137507",129.833287479887,2.80132150253143,0.400707274219992,6.99094247286732,2.73045712710351e-12,2.55903190573232e-09
"24","ENSG00000234218",93.4335064776925,8.80372372870822,1.26248802997634,6.97331263320825,3.09563639630212e-12,2.78039742327869e-09
"25","ENSG00000096155",286.625419852097,3.53874743614084,0.515729032916348,6.86164092048476,6.80740039675750e-12,5.64385857509634e-09
"26","ENSG00000230389",2554.57267266549,-1.53585919301432,0.223728158502629,-6.86484528051156,6.6563355866921e-12,5.64385857509634e-09
"27","ENSG00000257473",3412.97521437094,8.02841502329965,1.25420133502287,6.40121709259167,1.54143215636003e-10,1.23063376157396e-07
"28","ENSG00000182109",118.519416812685,-2.16573717887232,0.339797940291362,-6.37360302129936,1.84638146822683e-10,1.38387066371381e-07
"29","ENSG00000257073",104.268712194853,8.41821821780529,1.32105793074102,6.37233085840776,1.86176699052239e-10,1.38387066371381e-07
"30","ENSG00000204252",136.608325900264,-4.14341789375751,0.652476537739437,-6.35029407817905,2.1490370432507e-10,1.49434330659071e-07
"31","ENSG00000230141",136.608325900264,-4.14341789375751,0.652476537739437,-6.35029407817905,2.1490370432507e-10,1.49434330659071e-07
"32","ENSG00000243492",55.6455706332963,7.18338023357325,1.15716548046305,6.20773809351689,5.37526348119274e-10,3.62091186251846e-07
"33","ENSG00000188126",662.048752081395,3.03617336376967,0.500266480408408,6.06911212858194,1.2861932558141e-09,8.40157024919053e-07
"34","ENSG00000206427",526.315454355136,2.06643363900048,0.341895977046888,6.0440419827376,1.50300374231273e-09,9.25678533408426e-07
"35","ENSG00000231825",526.315454355136,2.06643363900048,0.341895977046888,6.04404198273759,1.50300374231281e-09,9.25678533408426e-07
"36","ENSG00000204256",725.557613585319,-1.96188357231097,0.326230065057694,-6.01380370004833,1.81219937536425e-09,1.08510471487088e-06
"37","ENSG00000229215",7595.12760408845,7.85480825030175,1.33948601596659,5.86404647504561,4.51720954409353e-09,2.63170186304e-06
"38","ENSG00000224320",7573.30173881448,7.77426953723822,1.33860779292131,5.80772768420245,6.33264030775448e-09,3.5922735387883e-06
"39","ENSG00000235657",17349.1395896337,-11.0619040040788,1.9470472772931,-5.68137411612199,1.3361684199566e-08,7.38524268220114e-06
"40","ENSG00000204619",211.259827284899,-24.1807886745942,4.26573681283673,-5.66860773075071,1.43962540015043e-08,7.56891832332746e-06
"41","ENSG00000206285",6.43253829328037,-21.3728436709802,3.77019157007525,-5.66890124115195,1.43716171418034e-08,7.56891832332746e-06
"42","ENSG00000261493",985.729850183584,1.3139377308592,0.232391991938387,5.65397163602591,1.56782094538045e-08,8.04665435681454e-06
"43","ENSG00000137331",163.550723861786,-23.7332992611692,4.26575212561399,-5.56368456541603,2.64137216135663e-08,1.32412600721403e-05
"44","ENSG00000232326",262.724644836601,-2.05090227138484,0.370051950146256,-5.54220095468827,2.98693233038867e-08,1.46332530258768e-05
"45","ENSG00000228435",134.109101836103,-23.3868396170758,4.26576674282493,-5.48244689103376,4.19482951629764e-08,2.00941655674027e-05
"46","ENSG00000234704",3686.164633856,1.30098898021992,0.252985446105761,5.14254475997025,2.71041838853948e-07,0.000126546501688123
"47","ENSG00000236552",454.227578783242,-2.4775083781418,0.482081016797669,-5.13919505604931,2.75917868776294e-07,0.000126546501688123
"48","ENSG00000230685",2086.89813120766,1.40595028558018,0.280784442657164,5.00722287985461,5.52209716713715e-07,0.000247988180280851
"49","ENSG00000149054",271.381459984906,-1.32636296969291,0.265697643852436,-4.99200124796569,5.97568690000724e-07,0.000262881442482767
"50","ENSG00000258588",4.29247551172652,-20.8399736502809,4.20164155272065,-4.9599599082379,7.05077298306484e-07,0.000303972924845891
"51","ENSG00000135114",731.324395915337,-0.946767897964978,0.191462845428928,-4.9449170978524,7.61762751171715e-07,0.000321971722828578
"52","ENSG00000215559",69.674139505568,3.62563784601608,0.738699758951896,4.90813460012538,9.19467445979682e-07,0.000367037782695149
"53","ENSG00000228314",90.2416705298848,3.96615061536162,0.807552453282067,4.91132260107975,9.0464110218906e-07,0.000367037782695149
"54","ENSG00000235222",221.550458930756,1.61475044349292,0.328882244265003,4.90981338047489,9.11631068696802e-07,0.000367037782695149
"55","ENSG00000206281",914.795283846062,-1.46123418168499,0.301213633060078,-4.85115552984795,1.22744243878773e-06,0.000481068167463789
"56","ENSG00000234539",655.602689515998,1.45618639384306,0.306144847550009,4.75652752445944,1.96951396322163e-06,0.000758122196271525
"57","ENSG00000230195",1.78681619257788,-19.6438224585182,4.20567406504285,-4.67079049748428,3.00042833268308e-06,0.00113468830068976
"58","ENSG00000205464",357.702807470494,1.17668423456665,0.25455344210853,4.62254301030025,3.79064184606562e-06,0.00139527728939521
"59","ENSG00000232962",65.679701042737,-7.39113120446807,1.59946585096882,-4.62099969186035,3.81895342708839e-06,0.00139527728939521
"60","ENSG00000237344",509.70823906804,1.33989119914884,0.290500957161001,4.61234693421767,3.981477219801e-06,0.00143041204916717
"61","ENSG00000106780",476.990547013924,-0.86052228779327,0.193896923576926,-4.43803992306186,9.07817837153152e-06,0.00320801988486448
